date,correct,total,accuracy_pct
2026-07-12,11,14,78.6
2026-07-19,21,26,80.8
2026-07-25,30,38,78.9
2026-08-01,30,39,76.9
2026-08-01,33,42,78.6
2026-08-01,35,44,79.5
2026-08-01,37,46,80.4
2026-08-01,37,47,78.7
2026-08-01,37,49,75.5
2026-08-01,39,49,79.6
2026-08-01,39,50,78.0
2026-08-01,40,51,78.4
2026-08-01,41,52,78.8
2026-08-09,47,64,73.4
2026-08-09,50,64,78.1
2026-08-09,51,64,79.7
2026-08-15,51,65,78.5
2026-08-15,51,66,77.3
2026-08-15,52,67,77.6
2026-08-15,52,68,76.5
2026-08-16,53,69,76.8
2026-08-16,53,70,75.7
2026-08-16,53,71,74.6
2026-08-16,54,72,75.0
2026-08-16,54,73,74.0
2026-08-16,54,74,73.0
2026-08-16,55,76,72.4
2026-08-22,56,77,72.7
2026-08-22,57,78,73.1
2026-08-22,58,79,73.4
2026-08-22,59,80,73.8
2026-08-22,60,81,74.1
2026-08-22,60,82,73.2
2026-08-23,61,83,73.5
2026-08-23,62,84,73.8
2026-08-23,62,85,72.9
2026-08-23,62,86,72.1
2026-08-23,63,87,72.4
2026-08-23,64,88,72.7
2026-08-23,64,89,71.9
2026-08-29,70,98,71.4
2026-08-29,71,100,71.0
2026-08-29,72,101,71.3
2026-08-29,72,102,70.6
2026-09-05,73,103,70.9
2026-09-05,73,104,70.2
