name,espn_id
aalon cruz,4043437
aaron brink,2498056
aaron phillips,3098802
aaron pico,4199009
aaron riley,2335809
aaron rosa,2500774
aaron simpson,2335793
aaron wilkinson,2536134
abdul hussein,4905308
abdul razak alhassan,3926500
abdul-kareem al-selwady,4695485
abdul-kerim edilov,3088664
abdul-rakhman yakhyaev,5291025
abel trujillo,2976752
abner lloveras,2483868
abu azaitar,3094635
abubakar nurmagomedov,3895515
abubakar vagaev,3960340
abus magomedov,3077822
adam cella,3024447
adam fugitt,4408375
adam milstead,3988727
adam wieczorek,3093741
adam yandiev,4364223
adlan amagov,2560800
adrian luna martinetti,5310570
adrian serrano,2488906
adrian yanez,3998248
adriano martins,2501489
adriano santos,2558141
aiemann zahabi,4079149
ailin perez,5075333
aisling daly,2517085
aj cunningham,4685730
aj dobson,4374436
aj fletcher,4869424
akbarh arreola,2501820
akihiro gono,2335668
akira corassani,2615078
al iaquinta,2960680
alan baudot,4422319
alan belcher,2335486
alan jouban,3045738
alan omer,3088204
alan patrick,3060122
alatengheili,3154389
albert cheng,3091103
albert duraev,3088682
albert morales,4044703
albert tumenov,3077132
alberta cerra leon,2951295
alberto crane,2354194
alberto mina,3091100
alberto montes,4571450
alberto uda,3108862
alden coria,5099732
alejandro perez,3128373
aleksa camur,4426299
aleksandar rakic,4079314
aleksandre topuria,5185662
aleksei kunchenko,3999124
aleksei oleinik,2335844
alen amedovski,4411394
alessandro costa,5074121
alessandro ricci,3005278
alessio di chirico,3962563
alessio sakara,2335785
alex andrade,2502141
alex caceres,2552906
alex chambers,3034798
alex da silva,4420801
alex garcia,3074494
alex gorgees,4406572
alex hunter,2951258
alex karalexis,2335822
alex morono,3088232
alex nicholson,3960082
alex oliveira,3417396
alex pereira,4705658
alex perez,3155425
alex reyes,4221609
alex schoenauer,2335745
alex soto,2610172
alex stiebling,2479912
alex torres,3157943
alex white,3097954
alexa grasso,3136287
alexander gustafsson,2500771
alexander hernandez,4018757
alexander munoz,4355664
alexander poppeck,4064714
alexander volkanovski,3949584
alexander volkov,2993650
alexander yakovlev,2950951
alexandr romanov,4421473
alexandra albu,3074493
alexandre barros,2335755
alexandre dantas,2557321
alexandre ferreira,2527802
alexandre pantoja,2560746
alexia thainara,5075992
alexis davis,2563797
alexis dufresne,3096066
alfonso alcarez,2500448
ali alqaisi,4687002
ali bagautinov,3044633
aliaskhab khizriev,4045420
alibi idiris,5264470
alice ardelean,3977988
alice pereira,5261515
alistair overeem,2335516
aljamain sterling,3031559
allan goes,2354084
allan nascimento,3020408
allan zuniga,4350869
allen berube,2537063
allen crowder,3983543
allen frye jr.,5327626
alonzo menifield,3948876
alptekin ozkilic,2975297
alvaro herrera,3952411
alvin hines,5229339
alvin robinson,2354124
amanda cooper,3923486
amanda lemos,4233196
amanda nunes,2516131
amanda ribas,4221863
amar suloev,2335847
amaury bitetti,2558104
amilcar alves,2504231
amir albazi,4684848
amir sadollah,2335779
an tuan ho,5200305
anderson dos santos,3090895
anderson silva,2335447
andre ewell,4350771
andre fialho,4010740
andre fili,3074464
andre gusmao,2335637
andre lima,5157669
andre muniz,3091099
andre pederneiras,2501620
andre petroski,4697476
andre roberts,2558118
andre soukhamthath,3903959
andre winner,2504227
andrea lee,3153106
andreas gustafsson,4738749
andreas michailidis,3171474
andreas stahl,3074495
andrei arlovski,2354269
andrei semenov,2354324
andrew craig,2616900
andrew holbrook,3904497
andrew sanchez,3104854
andrey pulyaev,5211225
andy anderson,2951135
andy enz,3001948
andy ogle,2964410
andy wang,2410614
ange loosa,4875506
angel pacheco,4893608
angela hill,3115931
angela magana,3024354
anistavio medeiros,2965159
