event_name,event_date,card_position,weight_class,fighter_a,fighter_b,event_start_time_et,is_womens_division,event_location,event_main_card_time_et,replacement,replaced_fighter,cancelled,manually_added,bout_order
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Main Event,Lightweight,Dan Hooker,Salahdine Parnasse,12:00,False,"Accor Arena, Paris, France",15:00,,,,,14.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Co-Main Event,Lightweight,Farés Ziam,Axel Sola,12:00,False,"Accor Arena, Paris, France",15:00,,,,,13.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Main Card,Middleweight,Michael Page,Nursulton Ruziboev,12:00,False,"Accor Arena, Paris, France",15:00,,,,,12.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Main Card,Welterweight,Daniil Donchenko,Punahele Soriano,12:00,False,"Accor Arena, Paris, France",15:00,,,,,11.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Main Card,Featherweight,Morgan Charrière,Felipe Lima,12:00,False,"Accor Arena, Paris, France",15:00,,,,,10.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Main Card,Featherweight,Losene Keita,Muhammad Naimov,12:00,False,"Accor Arena, Paris, France",15:00,,,,,9.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Heavyweight,Mario Pinto,Ryan Spann,12:00,False,"Accor Arena, Paris, France",15:00,,,,,8.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Featherweight,Kurtis Campbell,Trevor Peek,12:00,False,"Accor Arena, Paris, France",15:00,,,,,7.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Light Heavyweight,Oumar Sy,Modestas Bukauskas,12:00,False,"Accor Arena, Paris, France",15:00,,,,,6.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Featherweight,Nathaniel Wood,Pavel Andrusca,12:00,False,"Accor Arena, Paris, France",15:00,True,Mairon Santos,,,
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Flyweight,Michael Aljarouj,Fabia Sintes,12:00,False,"Accor Arena, Paris, France",15:00,,,,,4.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Women's Bantamweight,Nora Cornolle,Klaudia Syguła,12:00,True,"Accor Arena, Paris, France",15:00,,,,,3.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Middleweight,Matthieu Letho Duclos,Luis Felipe Dias,12:00,False,"Accor Arena, Paris, France",15:00,,,,,2.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Women's Strawweight,Delphine Benouaich,Sofia Montenegro,12:00,True,"Accor Arena, Paris, France",15:00,,,,,1.0
UFC Fight Night: Hooker vs. Parnasse,2026-09-05,Prelims,Featherweight,Nathaniel Wood,Mairon Santos,12:00,False,"Accor Arena, Paris, France",15:00,,,True,,5.0
