name,country
Adrian Yanez,USA
Alberto Montes,Venezuela
Alden Coria,USA
Alessandro Costa,Brazil
Alex Pereira,Brazil
Alvin Hines,USA
Austin Bashi,USA
Axel Sola,France
Belal Muhammad,USA
Benoit Saint-Denis,France
Brandon Royval,USA
Brendson Ribeiro,Brazil
Cesar Almeida,Brazil
Charles Oliveira,Brazil
Chase Hooper,USA
Chidi Njokuani,USA
Christian Leroy Duncan,UK
Cody Durden,USA
Cody Garbrandt,USA
Cong Wang,China
Conor McGregor,Ireland
Cory Sandhagen,USA
Damian Pinas,Aruba
Dione Barbosa,Brazil
Dricus Du Plessis,South Africa
Dustin Stoltzfus,USA
Edson Barboza,Brazil
Elisha Ellison,USA
Erin Blanchfield,USA
Esteban Ribovics,Argentina
Farid Basharat,UK
Fatima Kline,USA
Felipe Franco,Brazil
Gable Steveson,USA
Geoff Neal,USA
Gillian Robertson,Canada
Ian Machado Garry,Ireland
Ilia Topuria,Georgia
Islam Dulatov,Russia
Islam Makhachev,Russia
Ismael Bonfim,Brazil
Jalin Turner,USA
Jamahal Hill,USA
Jared Cannonier,USA
Jasmine Jasudavicius,Canada
Jean-Paul Lebosnoyani,USA
Jeremiah Wells,USA
John Garza,USA
Jon Jones,USA
Jose Delgado,USA
Kai Kamaka III,USA
Kamaru Usman,Nigeria
Kaue Fernandes,Brazil
Khalil Rountree Jr.,USA
King Green,USA
Leon Edwards,UK
Levi Rodrigues Jr.,Brazil
Luke Riley,UK
Mackenzie Dern,USA
Magomed Ankalaev,Russia
Magomed Tuchalov,Russia
Mansur Abdul-Malik,USA
Mario Bautista,USA
Max Holloway,USA
Myktybek Orolbai,Kyrgyzstan
Neil Magny,USA
Nikita Krylov,Ukraine
Paddy Pimblett,UK
RJ Harris,USA
Ramazan Temirov,Uzbekistan
Ramiz Brahimaj,USA
Rizvan Kuniev,Russia
Robert Whittaker,Australia
Ryan Gandra,Brazil
Sean Strickland,USA
Seokhyeon Ko,South Korea
Steve Erceg,Australia
Stewart Nicoll,Australia
Tabatha Ricci,Brazil
Terrance McKinney,USA
Thomas Petersen,USA
Tom Aspinall,UK
Tommy McMillen,USA
Tracy Cortez,USA
Tresean Gore,USA
Tyrell Fortune,USA
Umar Nurmagomedov,Russia
Valter Walker,Brazil
Vicente Luque,Brazil
Wellington Turman,Brazil
Zach Reese,USA
