name,weight_class,height_in,reach_in,stance,wins,losses,ko_wins,sub_wins,dec_wins,ko_losses,sub_losses,dec_losses,strike_accuracy_pct,td_accuracy_pct,td_defense_pct,last_fight_date,first_round_finish_pct,age,last_fight_result,last_fight_method,missed_weight_count,slpm,sapm,control_time_pct,last_fight_opponent,country,short_notice,combat_edge_checked,wikipedia_checked,td_per_15,slpm_r,sapm_r,td_per_15_r,draws,knockdowns_per_fight,td_accuracy_pct_r,espn_fights,sig_strikes_att_per_fight,td_att_per_fight,strike_accuracy_pct_r,knockdowns_absorbed_per_fight,sig_strikes_absorbed_per_fight,td_att_faced_per_fight,sig_strikes_landed_per_min,td_landed_per_15,sig_strikes_absorbed_per_min,fight_minutes_total,absorbed_leg_share,absorbed_body_share,strikes_ground_share,absorbed_head_share,strikes_head_share,strikes_body_share,strikes_distance_share,absorbed_ground_share,strikes_clinch_share,strikes_leg_share,absorbed_distance_share,absorbed_clinch_share
Alex Pereira,Heavyweight,76.0,79.0,Switch,13,4,11.0,0.0,2.0,2.0,1.0,1.0,61.4,,80.0,2026-06-14,0.42,,Loss,KO/TKO,0.0,,,,Ciryl Gane,Brazil,0.0,False,False,0.108,,,,,0.538,,13.0,87.38,0.15,59.8,0.154,39.85,3.46,5.008,0.108,3.722,139.2,22.6,22.8,8.5,54.6,46.8,25.8,81.2,6.4,10.3,27.4,85.7,7.9
Jamahal Hill,Light Heavyweight,77.0,79.0,Orthodox,12,4,7.0,0.0,5.0,3.0,0.0,1.0,51.8,,73.1,2025-06-21,0.33,,L,DEC,0.0,,,,Khalil Rountree Jr.,USA,0.0,False,False,0.0,4.853,4.621,0.0,,0.333,,12.0,123.83,0.0,48.3,0.333,41.83,4.33,6.189,0.0,4.035,124.4,21.3,26.3,7.4,52.4,66.2,24.3,81.7,11.4,10.9,9.5,82.7,6.0
Ilia Topuria,Lightweight,67.0,69.0,Orthodox,17,1,7.0,8.0,2.0,1.0,0.0,0.0,50.1,57.1,95.2,2026-06-14,0.38,,Loss,KO/TKO,0.0,,,,Justin Gaethje,Georgia,0.0,False,False,1.727,5.61,4.618,1.611,,0.571,54.1,14.0,71.57,1.5,53.9,0.071,29.57,1.5,4.237,1.519,3.495,118.5,17.4,20.5,16.1,62.1,68.3,21.1,77.1,1.7,6.8,10.6,92.5,5.8
Max Holloway,Welterweight,71.0,69.0,Orthodox,28,9,13.0,2.0,13.0,1.0,1.0,7.0,49.9,57.1,85.2,2026-07-11,0.27,34.0,W,KO/TKO,0.0,,,,Conor McGregor,USA,0.0,False,False,0.225,7.839,4.561,0.209,,0.28,34.8,25.0,256.0,0.56,52.1,0.08,83.8,4.32,7.271,0.273,4.766,439.6,22.4,14.5,5.7,63.1,64.0,24.5,89.1,1.9,5.3,11.5,93.3,4.8
Islam Makhachev,Welterweight,70.0,70.0,Southpaw,28,1,5.0,13.0,10.0,1.0,0.0,0.0,58.4,56.2,91.3,2025-11-15,0.37,34.0,W,DEC,0.0,,,,Jack Della Maddalena,Russia,0.0,False,False,3.102,2.143,1.516,2.851,,0.222,52.5,18.0,46.11,4.06,56.6,0.111,15.94,1.28,2.446,3.102,1.448,198.3,17.4,32.8,24.3,49.8,70.9,23.5,57.3,6.6,18.4,5.6,71.8,21.6
Charles Oliveira,Lightweight,70.0,74.0,Orthodox,37,11,10.0,22.0,5.0,5.0,4.0,2.0,60.1,43.1,57.1,2026-03-07,0.46,,W,DEC,0.0,,,,Max Holloway,Brazil,0.0,False,False,2.288,2.666,3.525,0.918,,0.28,37.8,25.0,45.8,2.88,63.8,0.2,25.72,1.12,3.342,2.259,3.124,205.8,7.3,18.4,25.9,74.3,61.8,25.3,58.7,23.8,15.4,12.9,69.2,7.0
Leon Edwards,Welterweight,73.0,74.0,Orthodox,22,6,7.0,3.0,12.0,1.0,1.0,3.0,54.4,37.3,63.7,2025-11-15,0.3,,L,KO/TKO,0.0,,,,Carlos Prates,UK,0.0,False,False,1.251,2.088,2.664,1.379,,0.238,53.0,21.0,76.48,3.57,63.0,0.095,39.0,5.9,2.584,1.243,2.425,337.8,15.1,23.4,10.5,61.4,56.1,23.6,75.8,13.1,13.6,20.3,72.5,14.4
Belal Muhammad,Welterweight,71.0,74.0,Orthodox,24,6,5.0,1.0,18.0,1.0,0.0,5.0,42.4,35.9,90.6,2025-11-22,0.21,,L,DEC,0.0,,,,Ian Machado Garry,USA,0.0,False,False,1.985,4.334,4.426,1.905,,0.0,33.0,23.0,155.3,5.57,39.5,0.261,59.22,2.3,4.178,1.903,3.756,362.6,24.7,18.0,7.9,57.3,77.0,14.5,87.4,2.7,4.8,8.6,92.3,5.0
Sean Strickland,Middleweight,73.0,76.0,Orthodox,31,7,12.0,4.0,15.0,2.0,0.0,5.0,42.5,62.1,68.8,2026-02-21,0.19,,W,KO/TKO,0.0,,,,Anthony Hernandez,USA,0.0,False,False,0.664,7.192,4.952,0.297,,0.28,45.3,25.0,228.68,1.16,44.0,0.12,73.68,3.08,5.976,0.664,4.53,406.7,24.0,34.3,4.7,41.7,80.8,14.1,92.1,2.9,3.2,5.1,94.4,2.7
Dricus Du Plessis,Middleweight,73.0,75.0,Orthodox,24,3,9.0,11.0,4.0,1.0,1.0,1.0,48.9,48.9,50.0,2026-07-18,0.3,32.0,W,DEC,0.0,,,,Kamaru Usman,South Africa,0.0,False,False,1.899,3.392,3.005,1.829,,0.267,46.0,15.0,123.4,3.0,48.2,0.0,49.07,2.0,4.554,1.659,3.699,199.0,7.5,20.2,8.2,72.3,61.7,17.8,84.7,4.9,7.2,20.5,91.3,3.8
Tom Aspinall,Heavyweight,77.0,79.0,Orthodox,15,3,11.0,4.0,0.0,1.0,1.0,0.0,67.6,80.0,,2025-10-25,0.5,,NC,Eye Poke,0.0,,,,Ciryl Gane,UK,0.0,False,False,2.616,,,,,0.5,37.2,10.0,25.9,0.5,69.1,0.0,8.3,0.2,,,,22.9,30.1,28.9,28.6,41.0,68.0,13.1,61.7,0.0,9.7,18.9,96.4,3.6
Conor McGregor,Welterweight,69.0,74.0,Southpaw,22,7,19.0,1.0,2.0,3.0,4.0,0.0,49.5,55.6,66.7,2026-07-11,0.45,37.0,L,KO/TKO,0.0,,,,Max Holloway,Ireland,0.0,False,False,0.66,,,,,0.542,12.3,24.0,50.42,0.38,42.3,0.042,22.33,1.38,4.296,0.538,3.845,139.4,14.2,16.4,12.9,69.4,69.9,17.0,77.0,19.4,10.2,13.0,62.7,17.9
Paddy Pimblett,Lightweight,70.0,71.0,Orthodox,24,4,7.0,11.0,6.0,0.0,1.0,3.0,52.7,21.1,46.4,2026-07-11,0.39,31.0,W,SUB,0.0,,,,Benoit Saint-Denis,UK,0.0,False,False,0.679,5.873,4.278,0.452,,0.2,15.3,10.0,91.8,1.9,52.7,0.2,34.1,2.8,4.683,0.581,3.299,103.3,14.1,21.4,16.5,64.5,61.6,18.0,75.8,11.7,7.6,20.5,77.4,10.9
Benoit Saint-Denis,Lightweight,70.0,73.0,Orthodox,17,4,6.0,11.0,0.0,2.0,1.0,1.0,58.5,35.3,72.2,2026-07-11,0.43,30.0,L,SUB,0.0,,,,Paddy Pimblett,France,0.0,False,False,4.148,,,,,0.385,33.7,13.0,63.69,5.23,63.3,0.077,27.31,1.38,5.577,4.148,4.091,86.8,10.1,22.0,31.4,67.9,62.8,26.4,50.6,11.5,18.0,10.7,73.0,15.5
Cory Sandhagen,Bantamweight,71.0,70.0,Orthodox,18,7,8.0,3.0,7.0,0.0,1.0,6.0,45.4,33.9,57.0,2026-07-11,0.31,34.0,L,DEC,0.0,,,,Mario Bautista,USA,0.0,False,False,1.138,3.864,3.327,1.079,,0.2,36.3,20.0,135.9,2.8,46.8,0.1,46.55,5.7,4.377,1.012,3.305,281.7,18.6,20.5,13.1,60.9,65.9,15.2,82.9,5.4,4.1,19.0,85.2,9.5
Mario Bautista,Bantamweight,67.0,68.0,Orthodox,18,3,3.0,7.0,8.0,1.0,1.0,1.0,50.3,38.8,57.1,2026-07-11,0.36,32.0,W,DEC,0.0,,,,Cory Sandhagen,USA,0.0,False,False,2.494,4.876,3.784,2.008,,0.2,39.0,15.0,114.47,4.47,52.9,0.133,43.47,3.73,5.524,2.494,4.169,156.4,17.0,15.6,6.7,67.3,61.5,26.0,80.4,3.5,12.8,12.5,82.2,14.3
Brandon Royval,Flyweight,66.0,68.0,Orthodox,18,9,4.0,10.0,4.0,2.0,1.0,6.0,42.6,64.3,45.3,2026-07-11,0.38,33.0,W,SUB,0.0,,,,Lone'er Kavanagh,USA,0.0,False,False,0.887,8.1,6.263,0.79,,0.214,57.1,14.0,142.93,1.0,45.7,0.357,46.07,4.57,5.567,0.882,4.214,153.1,19.8,21.4,8.9,58.8,79.0,14.4,85.6,7.6,5.5,6.6,85.1,7.3
Lone'er Kavanagh,Flyweight,68.0,68.0,Orthodox,13,2,5.0,6.0,2.0,0.0,1.0,1.0,50.5,46.2,82.6,2026-07-11,0.42,27.0,L,SUB,0.0,,,,Brandon Royval,England,0.0,False,False,1.15,4.137,3.448,1.001,,0.333,45.9,6.0,110.0,2.17,51.0,0.167,53.0,3.83,4.128,1.116,3.942,80.7,24.2,14.8,11.4,61.0,56.2,25.2,81.1,12.6,7.5,18.6,78.0,9.4
King Green,Lightweight,71.0,74.0,Southpaw,36,21,10.0,10.0,16.0,6.0,4.0,11.0,54.6,47.9,65.3,2026-07-11,0.27,,W,KO/TKO,0.0,,,,Terrance McKinney,USA,0.0,False,False,1.257,7.413,3.086,1.667,,0.24,73.9,25.0,135.2,1.92,57.0,0.16,38.8,1.96,7.204,1.347,3.787,256.1,19.8,21.2,10.4,59.0,58.3,25.3,81.1,7.0,8.5,16.4,87.1,5.9
Terrance McKinney,Lightweight,71.0,74.0,Orthodox,18,9,9.0,9.0,0.0,6.0,3.0,0.0,55.6,42.9,72.7,2026-07-11,0.94,31.0,L,KO/TKO,0.0,,,,King Green,USA,0.0,False,False,3.048,,,,,0.2,57.2,15.0,33.8,1.4,56.8,0.4,11.2,0.73,6.834,3.271,4.071,41.3,10.7,26.2,41.1,63.1,86.2,13.8,47.2,24.4,11.7,0.0,64.3,11.3
Robert Whittaker,Middleweight,71.0,71.0,Orthodox,28,9,12.0,5.0,11.0,3.0,2.0,4.0,43.4,38.1,80.0,2026-07-11,0.27,35.0,W,KO/TKO,0.0,,,,Nikita Krylov,Australia,0.0,False,False,0.711,3.808,3.116,0.415,,0.48,38.9,25.0,137.28,1.68,48.2,0.32,45.92,3.8,4.408,0.711,3.399,337.8,23.4,20.4,6.8,56.2,71.8,10.3,86.5,5.5,6.7,17.9,84.1,10.5
Nikita Krylov,Light Heavyweight,75.0,76.0,Orthodox,31,12,13.0,16.0,2.0,4.0,6.0,2.0,53.5,39.0,58.1,2026-07-11,0.42,34.0,L,KO/TKO,0.0,,,,Robert Whittaker,Ukraine,0.0,False,False,2.193,4.225,2.961,1.909,,0.286,41.2,21.0,57.29,2.81,50.3,0.143,19.24,2.05,4.418,2.367,2.772,145.8,5.2,8.7,19.4,86.1,57.3,25.6,62.4,18.1,18.2,17.1,66.8,15.1
Gable Steveson,Heavyweight,73.0,75.0,Orthodox,4,0,4.0,0.0,0.0,0.0,0.0,0.0,,,,2026-07-11,0.5,26.0,W,KO/TKO,0.0,,,,Elisha Ellison,USA,0.0,False,False,,,,,,1.0,,1.0,57.0,1.0,,0.0,13.0,0.0,,,,2.5,,,,,,,,,,,,
Elisha Ellison,Heavyweight,74.0,78.0,Orthodox,7,4,5.0,0.0,2.0,3.0,0.0,1.0,,,,2026-07-11,0.36,,L,KO/TKO,0.0,,,,Gable Steveson,USA,0.0,False,False,,,,,,0.0,,2.0,21.0,1.0,,0.5,35.0,0.5,,,,4.4,11.4,20.0,,68.6,,,,10.0,,,55.7,34.3
Cody Garbrandt,Bantamweight,65.0,68.0,Orthodox,15,8,11.0,0.0,4.0,5.0,1.0,2.0,40.4,22.2,81.8,2026-07-11,0.27,34.0,L,KO/TKO,0.0,,,,Adrian Yanez,USA,0.0,False,False,0.841,2.058,3.275,0.331,,0.611,5.3,18.0,69.22,2.5,42.9,0.444,36.61,1.83,2.82,0.841,3.694,178.4,19.1,14.9,5.2,66.0,72.2,13.5,86.7,6.7,8.2,14.3,87.3,6.1
Adrian Yanez,Bantamweight,68.0,67.0,Orthodox,18,6,12.0,2.0,4.0,2.0,0.0,4.0,42.0,,76.5,2026-07-11,0.33,32.0,W,KO/TKO,0.0,,,,Cody Garbrandt,USA,0.0,False,False,0.0,,,,,0.6,,15.0,81.13,0.07,43.5,0.2,29.87,1.13,4.475,0.0,3.924,114.2,19.2,18.5,7.0,62.3,74.2,12.7,91.0,2.5,2.0,13.1,96.0,1.6
Luke Riley,Featherweight,71.0,72.0,Orthodox,14,0,10.0,0.0,4.0,0.0,0.0,0.0,58.8,,37.5,2026-07-11,0.36,,W,KO/TKO,0.0,,,,Kai Kamaka III,UK,0.0,False,False,0.0,,,,,0.667,,3.0,89.0,0.0,59.0,0.0,30.33,2.67,,,,23.6,11.0,19.8,7.0,69.2,67.5,26.1,82.2,4.4,10.8,6.4,90.1,5.5
Kai Kamaka III,Featherweight,69.0,72.0,Orthodox,18,8,3.0,1.0,14.0,3.0,0.0,5.0,59.1,53.8,55.0,2026-07-11,0.31,,L,KO/TKO,0.0,,,,Luke Riley,USA,0.0,False,False,0.0,,,,,0.167,26.9,6.0,112.17,2.17,62.6,0.333,72.83,3.33,5.488,1.448,6.026,72.5,10.1,28.6,3.0,61.3,42.5,41.2,83.7,5.9,13.3,16.3,69.6,24.5
Cesar Almeida,Middleweight,74.0,76.0,Orthodox,9,2,3.0,4.0,2.0,1.0,1.0,0.0,60.3,,53.5,2026-07-11,0.39,,L,KO/TKO,0.0,,,,Damian Pinas,Brazil,0.0,False,False,0.245,2.688,1.916,0.0,,0.143,,7.0,67.29,0.43,62.0,0.429,24.29,6.14,3.726,0.197,2.23,76.2,17.1,20.6,22.2,62.4,44.4,33.1,64.1,10.6,13.7,22.5,84.7,4.7
Damian Pinas,Middleweight,74.0,76.0,Orthodox,10,3,8.0,0.0,2.0,2.0,0.0,1.0,,,85.7,2026-07-11,0.39,24.0,W,KO/TKO,0.0,,,,Cesar Almeida,Aruba,0.0,False,False,,,,,,1.333,,3.0,30.0,0.33,,0.0,17.67,2.33,,,,9.0,,,,,,,,,,,,
Ryan Gandra,Middleweight,73.0,74.0,Orthodox,11,0,6.0,3.0,2.0,0.0,0.0,0.0,50.5,,,2026-07-11,0.4,31.0,W,KO/TKO,0.0,,,,Zach Reese,Brazil,0.0,False,False,,,,,,1.0,,3.0,37.0,0.0,50.3,0.0,3.67,0.33,,,,4.8,,,,,,,,,,,,
