event_name,event_date,card_position,weight_class,fighter_a,fighter_b,event_start_time_et,is_womens_division,event_location,event_main_card_time_et,replacement,replaced_fighter,cancelled,manually_added,bout_order,_orphan_streak
UFC 331: Van vs. Pantoja 2,2026-09-19,Main Event,Flyweight,Joshua Van,Alexandre Pantoja,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,13.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Co-Main Event,Lightweight,Arman Tsarukyan,Mauricio Ruffy,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,12.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Main Card,Featherweight,Patricio Pitbull,Dooho Choi,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,11.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Main Card,Lightweight,Renato Moicano,Brian Ortega,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,10.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Main Card,Light Heavyweight,Alonzo Menifield,Iwo Baraniewski,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,9.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Prelims,Heavyweight,Gable Steveson,Sean Sharaf,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,8.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Prelims,Bantamweight,Marlon Vera,Charles Jourdain,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,7.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Prelims,Heavyweight,Tai Tuivasa,Robelis Despaigne,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,6.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Prelims,Featherweight,Michael Aswell,JooSang Yoo,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,1.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Early Prelims,Middleweight,Ryan Gandra,Ozzy Diaz,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,2.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Early Prelims,Middleweight,Edmen Shahbazyan,Brunno Ferreira,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,5.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Early Prelims,Women's Flyweight,Casey O'Neill,Eduarda Moura,17:00,True,"crypto.com Arena, Los Angeles, CA",21:00,,,,,3.0,
UFC 331: Van vs. Pantoja 2,2026-09-19,Early Prelims,Featherweight,Giga Chikadze,Joanderson Brito,17:00,False,"crypto.com Arena, Los Angeles, CA",21:00,,,,,4.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Main Event,Welterweight,Joaquin Buckley,Mike Malott,17:00,False,"Rogers Place, Edmonton, AB",20:00,,,,,10.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Co-Main Event,Lightweight,Mandel Nallo,Nate Landwehr,17:00,False,"Rogers Place, Edmonton, AB",20:00,,,,,9.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Main Card,Women's Flyweight,Erin Blanchfield,Jasmine Jasudavicius,17:00,True,"Rogers Place, Edmonton, AB",20:00,,,,,8.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Main Card,Middleweight,Marc-Andre Barriault,Kyle Daukaus,17:00,False,"Rogers Place, Edmonton, AB",20:00,,,,,7.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Main Card,Women's Flyweight,Jamey-Lyn Horth,Katlyn Cerminara,17:00,True,"Rogers Place, Edmonton, AB",20:00,,,,,5.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Prelims,Heavyweight,Tanner Boser,Jhonata Diniz,17:00,False,"Rogers Place, Edmonton, AB",20:00,,,,,6.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Prelims,Women's Bantamweight,Melissa Croden,Chelsea Chandler,17:00,True,"Rogers Place, Edmonton, AB",20:00,,,,,4.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Prelims,Bantamweight,Louis Jourdain,Timmy Cuamba,17:00,False,"Rogers Place, Edmonton, AB",20:00,True,Charles Jourdain,,,3.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Prelims,Middleweight,Julien LeBlanc,Gilbert Urbina,17:00,False,"Rogers Place, Edmonton, AB",20:00,,,,,2.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Prelims,Bantamweight,Charles Jourdain,Timmy Cuamba,17:00,False,"Rogers Place, Edmonton, AB",20:00,,,True,,,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Prelims,Bantamweight,Chad Anheliger,Steven Koslow,17:00,False,"Rogers Place, Edmonton, AB",20:00,,,,,1.0,
UFC Fight Night: Buckley vs. Malott,2026-10-17,Prelims,Heavyweight,Javad Mahjoub,Louie Sutherland,17:00,False,"Rogers Place, Edmonton, AB",20:00,,,,,,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Main Event,Bantamweight,Raul Rosas Jr.,Raoni Barcelos,15:00,False,"Meta APEX, Las Vegas, NV",18:00,,,,,11.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Co-Main Event,Women's Strawweight,Melissa Amaya,Valesca Machado,15:00,True,"Meta APEX, Las Vegas, NV",18:00,,,,,10.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Main Card,Bantamweight,Mehemmedeli Osmanli,Ilimbek Akylbek Uulu,15:00,False,"Meta APEX, Las Vegas, NV",18:00,,,,,9.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Main Card,Bantamweight,Montel Jackson,Ricky Simon,15:00,False,"Meta APEX, Las Vegas, NV",18:00,,,,,8.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Main Card,Light Heavyweight,Rodolfo Bellato,Christian Edwards,15:00,False,"Meta APEX, Las Vegas, NV",18:00,,,,,7.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Prelims,Middleweight,Rodolfo Vieira,Robert Bryczek,15:00,False,"Meta APEX, Las Vegas, NV",18:00,,,,,6.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Prelims,Bantamweight,Brady Hiestand,Rinya Nakamura,15:00,False,"Meta APEX, Las Vegas, NV",18:00,,,,,5.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Prelims,Bantamweight,John Castaneda,Alatengheili,15:00,False,"Meta APEX, Las Vegas, NV",18:00,,,,,4.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Prelims,Lightweight,Josiah Harrell,Elves Brener,15:00,False,"Meta APEX, Las Vegas, NV",18:00,,,,,3.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Prelims,Women's Bantamweight,Norma Dumont,Ailin Perez,15:00,True,"Meta APEX, Las Vegas, NV",18:00,,,,,2.0,
UFC Fight Night: Rosas Jr. vs. Barcelos,2026-09-26,Prelims,Women's Strawweight,Vanessa Demopoulos,Yazmin Jauregui,15:00,True,"Meta APEX, Las Vegas, NV",18:00,,,,,1.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Main Event,Featherweight,Alexander Volkanovski,Movsar Evloev,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,9.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Co-Main Event,Bantamweight,Petr Yan,Merab Dvalishvili,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,8.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Main Card,Flyweight,Lone'er Kavanagh,Ramazan Temirov,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,7.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Main Card,Featherweight,Arnold Allen,Aaron Pico,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,6.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Main Card,Heavyweight,Alexander Volkov,Rizvan Kuniev,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,5.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Prelims,Light Heavyweight,Dominick Reyes,Azamat Murzakanov,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,4.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Prelims,Middleweight,Abus Magomedov,Cam Rowston,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,3.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Prelims,Unknown,Nikita Krylov,Abdul-Rakhman Yakhyaev,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,2.0,
UFC 333: Volkanovski vs. Evloev,2026-10-24,Early Prelims,Lightweight,Grant Dawson,Nurullo Aliev,10:00,False,"Etihad Arena, Abu Dhabi, United Arab Emirates",14:00,,,,,1.0,
UFC Fight Night: Bonfim vs. Brady,2026-11-07,Main Event,Welterweight,Gabriel Bonfim,Sean Brady,17:00,False,"Meta APEX, Las Vegas, NV",20:00,,,,,1.0,
UFC 332,2026-10-03,Co-Main Event,Bantamweight,Deiveson Figueiredo,Payton Talbott,17:00,False,"Delta Center, Salt Lake City, UT",21:00,,,,,7.0,
UFC 332,2026-10-03,Main Card,Heavyweight,Johnny Walker,Mick Parkin,17:00,False,"Delta Center, Salt Lake City, UT",21:00,,,,,6.0,
UFC 332,2026-10-03,Main Card,Middleweight,Marvin Vettori,Ismail Naurdiev,17:00,False,"Delta Center, Salt Lake City, UT",21:00,,,,,5.0,
UFC 332,2026-10-03,Prelims,Middleweight,Ateba Gautier,Roman Kopylov,17:00,False,"Delta Center, Salt Lake City, UT",21:00,,,,,4.0,
UFC 332,2026-10-03,Prelims,Flyweight,Imanol Rodriguez,Alden Coria,17:00,False,"Delta Center, Salt Lake City, UT",21:00,,,,,3.0,
UFC 332,2026-10-03,Early Prelims,Welterweight,Damian Pinas,Andrey Pulyaev,17:00,False,"Delta Center, Salt Lake City, UT",21:00,,,,,2.0,
UFC 332,2026-10-03,Early Prelims,Welterweight,Court McGee,Eric Nolan,17:00,False,"Delta Center, Salt Lake City, UT",21:00,,,,,1.0,
UFC Fight Night: Las Vegas,2026-10-31,Prelims,Middleweight,Nick Klein,Joe Kropschot,17:00,False,"Meta APEX, Las Vegas, NV",,,,,,1.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Main Event,Featherweight,Jean Silva,Jose Delgado,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,12.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Co-Main Event,Flyweight,Brandon Moreno,Joseph Morales,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,11.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Main Card,Featherweight,Tommy McMillen,Marwan Rahiki,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,10.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Main Card,Women's Flyweight,Manon Fiorot,Alexa Grasso,14:00,True,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,9.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Main Card,Heavyweight,Waldo Cortes Acosta,Curtis Blaydes,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,8.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Main Card,Bantamweight,David Martinez,Dan Ige,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,7.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Prelims,Flyweight,Tim Elliott,Édgar Cháirez,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,6.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Prelims,Welterweight,Ignacio Bahamondes,Muslim Salikhov,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,5.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Prelims,Middleweight,Yousri Belgaroui,Djorden Santos,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,4.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Prelims,Lightweight,Rafa Garcia,Rongzhu,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,2.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Prelims,Lightweight,Drakkar Klose,Tommy Gantt,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,,
Noche UFC: Silva vs. Delgado,2026-09-12,Prelims,Featherweight,Sean King,Jessie Rosas,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,,
Noche UFC: Silva vs. Delgado,2026-09-12,Prelims,Women's Flyweight,JJ Aldrich,Regina Tarin,14:00,True,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,1.0,
Noche UFC: Silva vs. Delgado,2026-09-12,Prelims,Featherweight,Ramiro Jimenez,Rodrigo Vera,14:00,False,"Desert Diamond Arena, Glendale, AZ",17:00,,,,,3.0,3.0
UFC Fight Night: Allen vs. Duncan,2026-10-10,Main Event,Middleweight,Brendan Allen,Christian Leroy Duncan,17:00,False,"Meta APEX, Las Vegas, NV",20:00,,,,,1.0,
