play_id,event_name,event_date,fighter_a,fighter_b,card_position,weight_class,axis,market,selection,label,tier,is_lock,is_prop,odds_american,venue,units,model_prob,fair_prob,blended_prob,ev_per_unit,required_prob,published_at,last_seen,closing_odds,result,units_result,graded_at
UFC Fight Night: Nurmagomedov vs. Song|Jingnan Xiong|Julia Polastri|Fight Outcome: Ends In Finish|Jingnan Xiong vs Julia Polastri,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Jingnan Xiong,Julia Polastri,Prelims,Women's Strawweight,duration,Fight Outcome: Ends In Finish,Jingnan Xiong vs Julia Polastri,Fight ends inside the distance,,0,1,308,Polymarket,2.0,0.493,0.245,0.3194,0.3037,0.2695,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,441,,,
UFC Fight Night: Nurmagomedov vs. Song|Yan Xiaonan|Denise Gomes|Fight Outcome: Ends In Finish|Yan Xiaonan vs Denise Gomes,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Yan Xiaonan,Denise Gomes,Co-Main Event,Women's Strawweight,duration,Fight Outcome: Ends In Finish,Yan Xiaonan vs Denise Gomes,Fight ends inside the distance,,0,1,257,Polymarket,2.0,0.53,0.28,0.355,0.2679,0.308,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,257,,,
UFC Fight Night: Nurmagomedov vs. Song|Jingnan Xiong|Julia Polastri|Fight Method: Not SUB|Jingnan Xiong vs Julia Polastri,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Jingnan Xiong,Julia Polastri,Prelims,Women's Strawweight,method,Fight Method: Not SUB,Jingnan Xiong vs Julia Polastri,Does not end by SUB,,0,1,-102,Polymarket,2.0,0.849,0.505,0.6082,0.2044,0.5555,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,-102,,,
UFC Fight Night: Nurmagomedov vs. Song|Bilal Hasan|Nilson Rojas|Total Rounds Over 2.5|Bilal Hasan vs Nilson Rojas,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Bilal Hasan,Nilson Rojas,Main Card,Flyweight,duration,Total Rounds Over 2.5,Bilal Hasan vs Nilson Rojas,Over 2.5 rounds,,0,1,186,Polymarket,2.0,0.5755,0.35,0.4176,0.1931,0.385,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,186,,,
UFC Fight Night: Nurmagomedov vs. Song|Aoriqileng|Kai Asakura|Fight Outcome: Goes The Distance|Kai Asakura vs Aoriqileng,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Aoriqileng,Kai Asakura,Main Card,Bantamweight,duration,Fight Outcome: Goes The Distance,Kai Asakura vs Aoriqileng,Fight goes the distance,,0,1,264,Polymarket,2.0,0.451,0.275,0.3278,0.192,0.3025,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,264,,,
UFC Fight Night: Nurmagomedov vs. Song|Aoriqileng|Kai Asakura|Fight Method: Not KO/TKO|Kai Asakura vs Aoriqileng,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Aoriqileng,Kai Asakura,Main Card,Bantamweight,method,Fight Method: Not KO/TKO,Kai Asakura vs Aoriqileng,Does not end by KO/TKO,,0,1,170,Polymarket,2.0,0.597,0.37,0.4381,0.1841,0.407,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,170,,,
UFC Fight Night: Nurmagomedov vs. Song|Yan Xiaonan|Denise Gomes|Moneyline|Denise Gomes,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Yan Xiaonan,Denise Gomes,Co-Main Event,Women's Strawweight,outcome,Moneyline,Denise Gomes,Denise Gomes to win,Medium Confidence,0,0,153,Polymarket,2.0,0.624,0.395,0.4637,0.1739,0.4147,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,132,,,
UFC Fight Night: Nurmagomedov vs. Song|Namsrai Batbayar|Andre Lima|Total Rounds Over 2.5|Namsrai Batbayar vs Andre Lima,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Namsrai Batbayar,Andre Lima,Prelims,Flyweight,duration,Total Rounds Over 2.5,Namsrai Batbayar vs Andre Lima,Over 2.5 rounds,,0,1,153,Polymarket,2.0,0.6019,0.395,0.4571,0.1572,0.4345,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,130,,,
UFC Fight Night: Nurmagomedov vs. Song|Ding Meng|Cameron Nelson|Moneyline|Cameron Nelson,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Ding Meng,Cameron Nelson,Prelims,Welterweight,outcome,Moneyline,Cameron Nelson,Cameron Nelson to win,Medium Confidence,0,0,141,Polymarket,2.0,0.601,0.415,0.4709,0.1347,0.4357,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,130,,,
UFC Fight Night: Nurmagomedov vs. Song|Aoriqileng|Kai Asakura|Moneyline|Aoriqileng,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Aoriqileng,Kai Asakura,Main Card,Bantamweight,outcome,Moneyline,Aoriqileng,Aoriqileng to win,Low Confidence,0,0,388,Polymarket,1.0,0.535,0.205,0.304,0.4829,0.2153,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,360,,,
UFC Fight Night: Nurmagomedov vs. Song|Jingnan Xiong|Julia Polastri|Moneyline|Jingnan Xiong,UFC Fight Night: Nurmagomedov vs. Song,2026-08-29,Jingnan Xiong,Julia Polastri,Prelims,Women's Strawweight,outcome,Moneyline,Jingnan Xiong,Jingnan Xiong to win,Low Confidence,0,0,208,Polymarket,1.0,0.5,0.325,0.3775,0.1615,0.3413,2026-08-24 08:25 PM ET,2026-08-25 02:48 AM ET,210,,,
